# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359569,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359569,9,15,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359571,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359571,8,15,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359575,1,15,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359595,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359595,8,8,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359595,16,15,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359595,21,6,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359595,29,13,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359597,1,13,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359597,14,11,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359602,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359602,8,15,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359609,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359609,4,15,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359612,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359612,3,15,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359661,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359661,2,4,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
359661,198,13,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
359685,1,3,17000.00,HLT_PFJet80_v22/1,ONE,L1_SingleJet60/17000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
