# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356375,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
356375,135,10,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356378,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
356378,8,10,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356381,1,10,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
356381,795,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356383,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356385,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356386,1,4,0.00,HLT_PFJet60_v22/0,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356426,1,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356428,1,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
356428,11,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356433,1,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
356434,1,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
