# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357698,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357699,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357700,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357700,614,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357701,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357701,37,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357701,289,13,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357705,1,13,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357706,1,13,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357720,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357732,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357732,62,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357732,70,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357732,82,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357732,92,1,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357732,140,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357734,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357734,2,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357734,8,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357734,117,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357734,216,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357734,236,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357735,1,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,15,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,37,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,72,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,77,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,96,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,140,7,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,267,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,356,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,359,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357735,858,11,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357754,1,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357754,95,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357754,113,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357756,1,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357756,15,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357756,105,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357756,119,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357756,141,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357756,368,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357756,384,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357757,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357758,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357759,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357759,31,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357766,1,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357766,15,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357766,47,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357766,51,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357766,65,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357766,71,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357777,1,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357778,1,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357778,119,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357779,1,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357781,1,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357802,1,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357802,96,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357802,125,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357802,137,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357803,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357804,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357805,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357806,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357807,1,5,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357807,148,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357808,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357809,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357812,1,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357812,42,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357813,1,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357813,280,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357814,1,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357815,1,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357815,421,14,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357898,1,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357898,4,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357898,6,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357898,7,2,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357898,25,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357898,30,4,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357898,36,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357899,1,3,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357899,246,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357899,260,8,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357899,632,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
357900,1,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357900,21,9,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
357900,417,12,64000.00,HLT_PFJet60_v22/1,ONE,L1_SingleJet35/64000.00
